Species_BirdTree,Wing.Length,Secondary1,Hand.Wing.Index,Hand.Wing.Area,Data.type,Total.wing.area,Wingspan,Wing.aspect.ratio,Source_Total.wing.area_Wingspan,Max.Elevation.1,Source_Max.Elevation.1,Max.Elevation.2,Source_Max.Elevation.2,Min.Elevation.1,Source_Min.Elevation.1,Min.Elevation.2,Source_Min.Elevation.2,Mean.Elevation.1,Mean.Elevation.2,Centroid.latitude,Max.latitude,Min.latitude,Temp. seasonality,Habitat.Openness,Body.Mass,Flight.Mode,Aerial.Lifestyle,Aerial.Lifestyle.Certainty,Migration,Trophic.Level,Habitat.type
Francolinus pictus,138.8,102.7,25.6,22391.32,Observed,NA,NA,NA,NA,1200,White et al. (2015),1200,White et al. (2015),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),600,600,19.6,27.00,6.19,361.51,2,286.8,flapping,1,A,1,1ry consumer,Terrestrial
Francolinus pintadeanus,149.4,112.6,25.0,26424.63,Observed,NA,NA,NA,NA,1500,White et al. (2015),1500,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),750,750,20.91,30.38,9.70,392.56,2,310.0,flapping,1,A,1,1ry consumer,Terrestrial
Francolinus pondicerianus,136.5,101.2,25.9,21698.67,Observed,NA,NA,NA,NA,2350,Quintero et al. (2018),2350,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),1175,1175,23.43,34.06,7.63,495.05,3,249.9,flapping,1,A,1,1ry consumer,Terrestrial
Francolinus psilolaemus,167.3,128.5,23.1,33769.06,Observed,NA,NA,NA,NA,4000,White et al. (2015),4000,White et al. (2015); Quintero et al. (2018),1800,White et al. (2015),1800,White et al. (2015); Quintero et al. (2018),2900,2900,5.92,11.55,0.00,99.78,3,478.3,flapping,1,A,1,1ry consumer,Terrestrial
Francolinus rufopictus,201.8,163.3,19.1,51763.93,Observed,NA,NA,NA,NA,1600,del Hoyo (2020),1600,del Hoyo (2020),1300,del Hoyo (2020),1300,del Hoyo (2020),1450,1450,-3.07,4.71,1.45,74.21,3,706.1,flapping,1,A,1,1ry consumer,Terrestrial
Francolinus schlegelii,128.4,98.7,22.8,19906.83,Observed,NA,NA,NA,NA,1300,del Hoyo (2020),1300,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020),650,650,8.08,10.54,5.64,179.02,2,236.6,flapping,1,A,1,1ry consumer,Terrestrial
Francolinus sephaena,148.0,113.3,22.7,26339.74,Observed,NA,NA,NA,NA,2200,White et al. (2015),2200,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),1100,1100,-11.26,28.93,0.00,212.55,2,340.5,flapping,1,A,1,1ry consumer,Terrestrial
Francolinus shelleyi,164.9,117.7,28.7,30487.16,Observed,NA,NA,NA,NA,3000,White et al. (2015),3000,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),1500,1500,-16.16,31.11,0.00,242.10,3,488.0,flapping,1,A,1,1ry consumer,Terrestrial
Francolinus squamatus,176.8,148.6,16.0,41268.72,Observed,NA,NA,NA,NA,3000,White et al. (2015),3000,White et al. (2015); Quintero et al. (2018),800,White et al. (2015),800,White et al. (2015); Quintero et al. (2018),1900,1900,2.11,12.65,0.00,97.74,1,449.5,flapping,1,A,1,1ry consumer,Terrestrial
Francolinus streptophorus,146.5,106.6,27.2,24530.97,Observed,NA,NA,NA,NA,1800,White et al. (2015),1800,White et al. (2015); Quintero et al. (2018),600,White et al. (2015),600,White et al. (2015); Quintero et al. (2018),1200,1200,0.17,5.96,0.00,94.12,3,385.0,flapping,1,A,1,1ry consumer,Terrestrial
Francolinus swainsonii,186.5,146.4,21.4,42888.39,Observed,NA,NA,NA,NA,1600,Quintero et al. (2018),1600,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),800,800,-20.72,29.50,10.60,338.98,2,597.1,flapping,1,A,1,1ry consumer,Terrestrial
Francolinus swierstrai,179.0,144.0,19.6,40488.85,Observed,NA,NA,NA,NA,2500,White et al. (2015),2500,White et al. (2015); Quintero et al. (2018),1800,White et al. (2015),1800,White et al. (2015),2150,2150,-13.09,15.46,10.62,89.23,1,460.3,flapping,1,A,1,1ry consumer,Terrestrial
Fraseria cinerascens,76.8,65.8,14.2,7937.92,Observed,NA,NA,NA,NA,1085,Quintero et al. (2018),1085,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),542.5,542.5,2.44,12.97,0.00,89.09,2,23.1,flapping,1,A,1,2ry consumer,Terrestrial
Fraseria ocreata,94.0,77.6,17.4,11458.02,Observed,NA,NA,NA,NA,1600,White et al. (2015),1600,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),800,800,0.42,9.75,0.00,72.30,1,35.5,flapping,1,A,1,2ry consumer,Terrestrial
Fratercula arctica,163.6,78.5,51.6,20173.11,Observed,36466.67,551.67,8.35,Malo et al. (2021); Watanabe (2016); Viscor et al. (1987); Shiomi et al. (2024),300,del Hoyo (2020),300,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020); Quintero et al. (2018),150,150,66.06,81.07,43.29,761.05,3,593.0,flapping,2,A,3,2ry consumer,Marine
Fratercula cirrhata,194.1,94.9,50.5,28934.21,Observed,51200.00,662.00,8.56,Shiomi et al. (2024),600,del Hoyo (2020),600,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020); Quintero et al. (2018),300,300,53.66,69.25,37.47,790.48,3,774.4,flapping,2,A,3,2ry consumer,Marine
Fratercula corniculata,185.5,88.4,52.3,25758.23,Observed,43400.00,607.00,8.49,Shiomi et al. (2024),300,del Hoyo (2020),300,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020); Quintero et al. (2018),150,150,56.55,72.43,45.26,994.74,3,536.1,flapping,2,A,3,2ry consumer,Marine
Frederickena unduligera,99.8,92.7,8.8,14532.16,Observed,NA,NA,NA,NA,1100,White et al. (2015),1100,White et al. (2015); Quintero et al. (2018),15,Quintero et al. (2018),15,Quintero et al. (2018),557.5,557.5,-5.05,14.36,0.00,49.92,1,83.0,flapping,1,A,1,2ry consumer,Terrestrial
Frederickena viridis,95.3,89.0,6.6,13323.02,Observed,NA,NA,NA,NA,700,White et al. (2015),700,White et al. (2015); Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),350,350,2.8,7.96,0.00,71.44,1,76.0,flapping,1,A,1,2ry consumer,Terrestrial
Fregata andrewsi,618.8,232.2,62.5,225700.44,Observed,NA,NA,NA,NA,200,del Hoyo (2020),200,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020),100,100,-10.43,10.47,10.42,62.53,3,1473.1,soaring,3,A,3,2ry consumer,Marine
Fregata aquila,568.4,207.8,63.8,185532.28,Observed,324000.00,2019.00,12.58,Viscor et al. (1987),200,del Hoyo (2020),200,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020),100,100,-8.34,16.92,1.18,129.73,3,1620.0,soaring,3,A,3,2ry consumer,Marine
Fregata ariel,513.0,183.5,64.6,147867.70,Observed,NA,NA,NA,NA,200,del Hoyo (2020),200,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020),100,100,-2.33,33.44,0.00,93.96,3,804.3,soaring,3,A,3,2ry consumer,Marine
Fregata magnificens,642.0,232.2,64.0,234162.38,Observed,359000.00,2120.00,12.52,Shiomi et al. (2024),2400,del Hoyo (2020),2400,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020); Quintero et al. (2018),1200,1200,-14.03,27.66,0.00,170.75,3,1490.5,soaring,3,A,3,2ry consumer,Marine
Fregata minor,567.8,203.2,64.2,181233.70,Observed,354000.00,1980.00,11.07,Shiomi et al. (2024),200,del Hoyo (2020),200,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020),100,100,-1.46,28.22,0.00,102.03,3,1274.7,soaring,3,A,3,2ry consumer,Marine
Fregetta grallaria,168.6,70.6,58.2,18697.44,Observed,28300.00,447.00,7.06,Shiomi et al. (2024),500,del Hoyo (2020),500,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020),250,250,-26.74,53.97,0.00,153.28,3,50.6,flapping,3,A,3,2ry consumer,Marine
Fregetta tropica,164.4,71.1,56.5,18360.79,Observed,24666.67,438.33,7.79,Malo et al. (2021); Shiomi et al. (2024),100,del Hoyo (2020),100,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020),50,50,-53.2,63.34,43.70,228.22,3,52.0,flapping,3,A,3,2ry consumer,Marine
Fringilla coelebs,85.9,62.2,27.6,8392.73,Observed,12982.95,266.09,5.45,Bruderer et al. (2010); Claramunt et al. (2021); Howard et al. (2018); Malo et al. (2021); Viscor et al. (1987); Shiomi et al. (2024),2500,White et al. (2015),2500,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),1250,1250,52.79,70.52,27.64,916.72,2,23.8,flapping,1,A,2,1ry consumer,Terrestrial
Fringilla montifringilla,89.3,60.3,32.5,8458.41,Observed,12901.17,267.43,5.54,Bruderer et al. (2010); Howard et al. (2018); Malo et al. (2021); Viscor et al. (1987); Shiomi et al. (2024),3100,del Hoyo (2020),3100,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020); Quintero et al. (2018),1550,1550,60.69,71.19,45.02,1358.79,1,23.2,flapping,1,A,3,1ry consumer,Terrestrial
Fringilla teydea,97.0,74.2,22.6,11305.65,Observed,NA,NA,NA,NA,2300,White et al. (2015),2300,White et al. (2015),300,White et al. (2015),300,White et al. (2015),1300,1300,28.25,28.42,27.92,384.44,2,30.3,flapping,1,A,1,1ry consumer,Terrestrial
Fulica alai,174.5,103.7,40.6,28424.58,Observed,NA,NA,NA,NA,1400,del Hoyo (2020),1400,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020),700,700,20.88,22.23,19.08,122.65,2,459.0,flapping,1,A,1,1ry consumer,Terrestrial
Fulica americana,187.6,111.4,39.6,32827.51,Observed,58000.00,635.00,6.95,Viscor et al. (1987); Shiomi et al. (2024),3300,del Hoyo (2020),3500,Quintero et al. (2018),0,del Hoyo (2020),0,del Hoyo (2020); White et al. (2015); Quintero et al. (2018),1650,1750,42.91,62.69,4.77,856.60,3,636.7,flapping,1,A,2,1ry consumer,Terrestrial
Fulica ardesiaca,218.0,144.6,32.9,49515.90,Observed,NA,NA,NA,NA,4700,White et al. (2015),4700,White et al. (2015); Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),2350,2350,-16.71,26.17,0.00,160.89,3,988.0,flapping,1,A,1,1ry consumer,Terrestrial
Fulica armillata,202.4,128.1,36.1,40726.73,Observed,NA,NA,NA,NA,2100,del Hoyo (2020),2500,Quintero et al. (2018),0,del Hoyo (2020),0,del Hoyo (2020); White et al. (2015); Quintero et al. (2018),1050,1250,-38.38,55.72,21.72,465.92,3,1040.0,flapping,1,A,1,1ry consumer,Terrestrial
Fulica atra,198.2,120.0,39.6,37359.82,Observed,73947.06,730.42,7.21,Bruderer et al. (2010); Claramunt et al. (2021); Malo et al. (2021); Serrano et al. (2016); Viscor et al. (1987); Shiomi et al. (2024),3500,White et al. (2015),3500,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),1750,1750,36.45,66.41,0.00,934.12,3,717.1,flapping,1,A,1,1ry consumer,Terrestrial
Fulica caribaea,179.3,118.5,34.0,33374.79,Observed,NA,NA,NA,NA,500,White et al. (2015),1350,Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),250,675,15.73,21.97,9.66,102.85,3,636.7,flapping,1,A,2,1ry consumer,Terrestrial
Fulica cornuta,291.0,195.5,32.8,89363.39,Observed,NA,NA,NA,NA,5200,White et al. (2015),5200,White et al. (2015); Quintero et al. (2018),3000,White et al. (2015),3000,White et al. (2015); Quintero et al. (2018),4100,4100,-25.35,29.48,21.37,417.76,3,2110.4,flapping,1,A,1,1ry consumer,Terrestrial
Fulica cristata,212.0,131.9,36.1,43923.86,Observed,NA,NA,NA,NA,3000,White et al. (2015),3000,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),1500,1500,-17.31,39.45,0.00,285.24,3,826.0,flapping,1,A,1,1ry consumer,Terrestrial
Fulica gigantea,268.2,188.1,29.0,79244.19,Observed,NA,NA,NA,NA,6540,White et al. (2015),6540,White et al. (2015); Quintero et al. (2018),3600,White et al. (2015),3600,White et al. (2015); Quintero et al. (2018),5070,5070,-17.54,26.44,10.13,173.07,3,2442.7,flapping,1,A,1,1ry consumer,Terrestrial
Fulica leucoptera,182.2,114.4,36.6,32741.18,Observed,NA,NA,NA,NA,4500,Quintero et al. (2018),4500,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),2250,2250,-34.3,55.72,16.81,438.88,3,656.0,flapping,1,A,2,1ry consumer,Terrestrial
Fulica rufifrons,168.8,108.2,35.9,28689.28,Observed,NA,NA,NA,NA,2100,White et al. (2015),2100,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),1050,1050,-34.37,43.48,16.93,461.65,3,644.0,flapping,1,A,1,1ry consumer,Terrestrial
Fulmarus glacialis,321.1,155.0,51.1,78179.32,Observed,112700.00,1100.71,10.75,Malo et al. (2021); Watanabe (2016); Viscor et al. (1987); Shiomi et al. (2024),1000,del Hoyo (2020),1000,del Hoyo (2020); Quintero et al. (2018),0,del Hoyo (2020),0,del Hoyo (2020); Quintero et al. (2018),500,500,64.81,84.96,36.34,499.35,3,611.9,soaring,3,A,3,2ry consumer,Marine
Fulmarus glacialoides,315.0,156.2,49.5,77287.89,Observed,113633.33,1134.00,11.32,Malo et al. (2021); Shiomi et al. (2024),300,del Hoyo (2020),300,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020),150,150,-52.75,78.14,24.19,226.23,3,793.4,soaring,3,A,3,2ry consumer,Marine
Furnarius cinnamomeus,97.6,80.7,17.4,12372.09,Observed,NA,NA,NA,NA,2700,Quintero et al. (2018),2700,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),1350,1350,-3.68,9.32,0.00,99.65,2,41.2,flapping,1,A,1,2ry consumer,Terrestrial
Furnarius cristatus,73.8,61.9,16.1,7175.74,Observed,NA,NA,NA,NA,1000,White et al. (2015),1000,White et al. (2015); Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),500,500,-26.55,33.03,20.55,421.96,2,25.5,flapping,1,A,1,2ry consumer,Terrestrial
Furnarius figulus,83.2,69.1,17.4,9030.70,Observed,NA,NA,NA,NA,1300,del Hoyo (2020),1300,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020); White et al. (2015),650,650,-10.71,23.71,1.13,123.88,1,28.0,flapping,1,A,1,2ry consumer,Terrestrial
Furnarius leucopus,89.2,74.4,16.4,10424.56,Observed,NA,NA,NA,NA,1700,Birds of the World (2022),1700,Birds of the World (2022),0,Birds of the World (2022),0,Birds of the World (2022); Quintero et al. (2018),850,850,-9.74,20.96,0.00,97.28,2,54.8,flapping,1,A,1,2ry consumer,Terrestrial
Furnarius longirostris,89.7,78.2,12.8,11018.41,Observed,NA,NA,NA,NA,600,Quintero et al. (2018),600,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),300,300,9.46,12.46,5.57,60.45,2,49.0,flapping,1,A,1,2ry consumer,Terrestrial
Furnarius minor,73.7,64.0,13.4,7409.13,Observed,NA,NA,NA,NA,200,White et al. (2015),300,Quintero et al. (2018),50,White et al. (2015),50,White et al. (2015); Quintero et al. (2018),125,175,-3.58,7.88,0.02,51.27,1,25.8,flapping,1,A,1,2ry consumer,Terrestrial
Furnarius rufus,95.8,80.3,16.1,12083.73,Observed,NA,NA,NA,NA,3500,White et al. (2015),3500,White et al. (2015); Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),1750,1750,-22.97,43.29,8.78,277.64,3,46.4,flapping,1,A,1,2ry consumer,Terrestrial
Furnarius torridus,89.2,77.5,13.1,10858.92,Observed,NA,NA,NA,NA,300,White et al. (2015),300,White et al. (2015); Quintero et al. (2018),150,White et al. (2015),150,White et al. (2015); Quintero et al. (2018),225,225,-4.37,8.30,0.83,43.10,1,52.3,flapping,1,A,1,2ry consumer,Terrestrial
Galbalcyrhynchus leucotis,87.8,66.5,24.1,9171.41,Observed,NA,NA,NA,NA,500,White et al. (2015),500,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015),250,250,-2.27,6.96,0.00,54.63,2,46.9,flapping,2,A,1,2ry consumer,Terrestrial
Galbalcyrhynchus purusianus,86.8,67.6,22.1,9216.93,Observed,NA,NA,NA,NA,400,Quintero et al. (2018),400,Quintero et al. (2018),44,Quintero et al. (2018),44,Quintero et al. (2018),222,222,-8.86,13.89,4.23,55.65,2,50.0,flapping,2,A,1,2ry consumer,Terrestrial
Galbula albirostris,75.3,58.1,22.6,6872.12,Observed,NA,NA,NA,NA,1300,White et al. (2015),1300,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),650,650,0.31,11.51,0.00,61.10,1,22.1,flapping,2,A,1,2ry consumer,Terrestrial
Galbula chalcothorax,80.8,54.5,32.5,6917.16,Observed,NA,NA,NA,NA,1000,White et al. (2015),1000,White et al. (2015),0,White et al. (2015),0,White et al. (2015),500,500,-4.63,12.00,0.00,48.94,1,23.9,flapping,2,A,1,2ry consumer,Terrestrial
Galbula cyanescens,76.5,55.5,28.0,6669.21,Observed,NA,NA,NA,NA,1000,del Hoyo (2020),1400,Quintero et al. (2018),0,del Hoyo (2020),0,del Hoyo (2020); White et al. (2015),500,700,-8.03,13.60,3.31,51.13,1,25.3,flapping,2,A,1,2ry consumer,Terrestrial
Galbula cyanicollis,78.5,64.1,18.2,7904.01,Observed,NA,NA,NA,NA,900,White et al. (2015),900,White et al. (2015),0,White et al. (2015),0,White et al. (2015),450,450,-6.69,12.48,0.58,62.29,1,23.2,flapping,2,A,1,2ry consumer,Terrestrial
Galbula dea,91.2,66.5,26.2,9526.57,Observed,NA,NA,NA,NA,1100,White et al. (2015),1100,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),550,550,-3.81,15.04,0.00,62.59,1,27.4,flapping,2,A,1,2ry consumer,Terrestrial
Galbula galbula,82.5,62.2,24.6,8060.54,Observed,NA,NA,NA,NA,700,White et al. (2015),700,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),350,350,2.45,8.76,0.00,68.77,2,23.0,flapping,2,A,1,2ry consumer,Terrestrial
Galbula leucogastra,71.8,53.5,25.8,6033.90,Observed,NA,NA,NA,NA,900,White et al. (2015),900,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),450,450,-4.12,15.14,0.00,63.86,2,15.9,flapping,2,A,1,2ry consumer,Terrestrial
Galbula pastazae,88.2,66.6,24.5,9227.05,Observed,NA,NA,NA,NA,1700,White et al. (2015),1700,White et al. (2015),600,White et al. (2015),600,White et al. (2015),1150,1150,-1.71,4.53,0.00,65.78,1,31.8,flapping,2,A,1,2ry consumer,Terrestrial
Galbula ruficauda,78.3,62.2,21.1,7650.19,Observed,NA,NA,NA,NA,1350,White et al. (2015),1350,White et al. (2015),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),675,675,-8.28,23.62,0.00,112.09,2,26.5,flapping,2,A,1,2ry consumer,Terrestrial
Galbula tombacea,77.0,64.9,15.2,7849.74,Observed,NA,NA,NA,NA,1200,White et al. (2015),1200,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015),600,600,-1.41,5.90,0.00,51.42,1,23.2,flapping,2,A,1,2ry consumer,Terrestrial
Galerida cristata,103.4,75.8,26.7,12311.46,Observed,21995.00,342.00,5.32,Bruderer et al. (2010); Malo et al. (2021); Shiomi et al. (2024),2300,White et al. (2015),2300,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),1150,1150,34.48,59.95,1.22,787.48,3,42.7,flapping,1,B,1,1ry consumer,Terrestrial
Galerida deva,83.4,59.2,29.5,7755.46,Observed,NA,NA,NA,NA,1000,White et al. (2015),1000,White et al. (2015); Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),500,500,20.38,27.65,10.90,377.07,2,19.9,flapping,1,B,1,1ry consumer,Terrestrial
Galerida magnirostris,103.1,72.6,29.5,11757.50,Observed,NA,NA,NA,NA,3482,Quintero et al. (2018),3482,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),1741,1741,-30.74,34.84,26.32,457.26,3,41.6,flapping,1,B,1,1ry consumer,Terrestrial
Galerida malabarica,93.6,66.0,29.2,9703.75,Observed,NA,NA,NA,NA,2000,White et al. (2015),2000,White et al. (2015); Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),1000,1000,15.44,23.35,8.07,174.47,3,38.2,flapping,1,B,1,1ry consumer,Terrestrial
Galerida modesta,80.6,64.0,20.7,8102.80,Observed,NA,NA,NA,NA,1325,Quintero et al. (2018),1325,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),662.5,662.5,9.21,14.84,2.04,199.24,3,20.2,flapping,1,B,1,1ry consumer,Terrestrial
Galerida theklae,98.4,75.3,23.3,11638.85,Observed,NA,NA,NA,NA,3200,White et al. (2015),3200,White et al. (2015); Quintero et al. (2018),50,White et al. (2015),0,Quintero et al. (2018),1625,1600,26.42,43.05,0.12,465.64,2,38.2,flapping,1,B,1,1ry consumer,Terrestrial
Gallicolumba beccarii,104.2,73.7,29.3,12062.99,Observed,NA,NA,NA,NA,2700,White et al. (2015),2700,White et al. (2015); Quintero et al. (2018),390,Quintero et al. (2018),390,Quintero et al. (2018),1545,1545,-5.52,11.85,0.49,38.67,1,78.7,flapping,1,A,1,1ry consumer,Terrestrial
Gallicolumba canifrons,113.0,83.0,26.5,14732.50,Observed,NA,NA,NA,NA,300,del Hoyo (2020),300,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020),150,150,7.44,7.73,6.89,17.47,1,58.2,flapping,1,B,1,1ry consumer,Terrestrial
Gallicolumba crinigera,150.2,107.2,28.6,25292.08,Observed,NA,NA,NA,NA,600,Quintero et al. (2018),600,Quintero et al. (2018),100,Quintero et al. (2018),100,Quintero et al. (2018),350,350,8.25,12.59,5.56,58.28,1,192.2,flapping,1,B,1,1ry consumer,Terrestrial
Gallicolumba erythroptera,140.5,97.2,30.8,21451.74,Observed,NA,NA,NA,NA,100,del Hoyo (2020),100,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020),50,50,-19.19,23.18,14.91,90.84,1,113.2,flapping,1,B,1,1ry consumer,Terrestrial
Gallicolumba hoedtii,148.7,106.0,28.7,24759.21,Observed,NA,NA,NA,NA,950,White et al. (2015),950,White et al. (2015),0,White et al. (2015),0,White et al. (2015),475,475,-9.11,10.37,7.55,93.32,1,176.0,flapping,1,A,1,1ry consumer,Terrestrial
Gallicolumba jobiensis,144.2,94.5,34.5,21405.08,Observed,NA,NA,NA,NA,2300,White et al. (2015),2300,White et al. (2015); Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),1150,1150,-5.49,10.85,1.47,42.70,1,135.0,flapping,1,B,1,1ry consumer,Terrestrial
Gallicolumba keayi,139.2,93.6,32.8,20466.09,Observed,NA,NA,NA,NA,1200,White et al. (2015),1200,White et al. (2015),900,White et al. (2015),900,White et al. (2015),1050,1050,10.58,11.94,9.04,72.02,1,190.5,flapping,1,B,1,1ry consumer,Terrestrial
Gallicolumba kubaryi,146.0,105.2,27.8,24126.17,Observed,NA,NA,NA,NA,180,White et al. (2015),180,White et al. (2015),0,White et al. (2015),0,White et al. (2015),90,90,6.98,7.46,6.79,10.05,1,162.0,flapping,1,B,1,1ry consumer,Terrestrial
Gallicolumba luzonica,142.7,103.6,27.4,23222.21,Observed,NA,NA,NA,NA,1400,White et al. (2015),1400,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),700,700,15.91,18.65,12.54,129.80,1,196.0,flapping,1,B,1,1ry consumer,Terrestrial
Gallicolumba menagei,158.5,110.7,30.2,27561.11,Observed,NA,NA,NA,NA,200,del Hoyo (2020),200,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020),100,100,5.2,5.35,5.05,35.95,1,196.0,flapping,1,B,1,1ry consumer,Terrestrial
Gallicolumba platenae,153.1,110.8,27.6,26646.17,Observed,NA,NA,NA,NA,400,White et al. (2015),400,White et al. (2015),0,White et al. (2015),0,White et al. (2015),200,200,13.21,13.49,12.66,99.76,1,196.0,flapping,1,B,1,1ry consumer,Terrestrial
Gallicolumba rubescens,120.6,88.2,26.7,16708.43,Observed,NA,NA,NA,NA,400,del Hoyo (2020),400,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020),200,200,-8.14,9.44,7.90,40.05,1,60.0,flapping,1,B,1,1ry consumer,Terrestrial
Gallicolumba rufigula,129.8,92.5,28.4,18859.77,Observed,NA,NA,NA,NA,1700,White et al. (2015),1700,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),850,850,-5.33,10.73,0.01,44.38,1,130.0,flapping,1,B,1,1ry consumer,Terrestrial
Gallicolumba sanctaecrucis,126.0,91.0,27.8,18010.75,Observed,NA,NA,NA,NA,1000,del Hoyo (2020),1000,del Hoyo (2020); White et al. (2015),0,del Hoyo (2020),0,del Hoyo (2020),500,500,-15.2,15.62,10.39,97.67,1,171.0,flapping,1,B,1,1ry consumer,Terrestrial
Gallicolumba stairi,147.5,101.5,31.2,23516.78,Observed,NA,NA,NA,NA,1500,del Hoyo (2020),1500,del Hoyo (2020); White et al. (2015),0,del Hoyo (2020),0,del Hoyo (2020),750,750,-16.96,21.12,13.43,145.65,3,171.0,flapping,1,B,1,1ry consumer,Terrestrial
Gallicolumba tristigmata,159.3,118.1,25.8,29551.91,Observed,NA,NA,NA,NA,2000,White et al. (2015),2000,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),1000,1000,-2.09,5.71,0.00,42.88,1,275.0,flapping,1,B,1,1ry consumer,Terrestrial
Gallicolumba xanthonura,139.2,98.8,28.4,21603.10,Observed,NA,NA,NA,NA,1000,del Hoyo (2020),1000,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020),500,500,14.09,20.54,9.44,48.02,1,110.6,flapping,1,B,1,1ry consumer,Terrestrial
Gallicrex cinerea,185.9,125.7,31.6,36705.79,Observed,62644.41,609.79,5.94,Serrano et al. (2016),1300,del Hoyo (2020),1300,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020); Quintero et al. (2018),650,650,22.92,45.92,0.00,479.12,2,390.4,flapping,1,A,2,1ry consumer,Terrestrial
Gallinago andina,113.0,66.8,39.9,11857.00,Observed,NA,NA,NA,NA,4600,Quintero et al. (2018),4600,Quintero et al. (2018),3000,Quintero et al. (2018),3000,Quintero et al. (2018),3800,3800,-17.52,26.74,4.32,179.87,3,109.4,flapping,2,B,2,2ry consumer,Terrestrial
