Species_BirdTree,Wing.Length,Secondary1,Hand.Wing.Index,Hand.Wing.Area,Data.type,Total.wing.area,Wingspan,Wing.aspect.ratio,Source_Total.wing.area_Wingspan,Max.Elevation.1,Source_Max.Elevation.1,Max.Elevation.2,Source_Max.Elevation.2,Min.Elevation.1,Source_Min.Elevation.1,Min.Elevation.2,Source_Min.Elevation.2,Mean.Elevation.1,Mean.Elevation.2,Centroid.latitude,Max.latitude,Min.latitude,Temp. seasonality,Habitat.Openness,Body.Mass,Flight.Mode,Aerial.Lifestyle,Aerial.Lifestyle.Certainty,Migration,Trophic.Level,Habitat.type
Accipiter brevipes,217.6,129.9,40.2,44400.51,Observed,73912.50,697.50,6.58,Bruderer et al. (2010); Malo et al. (2021); Shiomi et al. (2024),2000,del Hoyo (2020),2000,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020); Quintero et al. (2018),1000,1000,45.24,55.86,31.19,1013.00,1,186.5,soaring,3,A,3,2ry consumer,Terrestrial
Accipiter butleri,166.0,123.1,25.8,32098.59,Observed,NA,NA,NA,NA,100,del Hoyo (2020),100,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020),50,50,8.42,9.26,7.87,46.03,1,122.0,soaring,2,B,1,2ry consumer,Terrestrial
Accipiter castanilius,163.5,123.1,24.0,31615.18,Observed,NA,NA,NA,NA,800,del Hoyo (2020),800,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020); Quintero et al. (2018),400,400,0.71,10.36,0.00,74.15,1,157.5,soaring,2,B,2,2ry consumer,Terrestrial
Accipiter chilensis,227.0,156.2,30.6,55696.35,Observed,NA,NA,NA,NA,1200,Birds of the World (2022),1200,Birds of the World (2022),0,Birds of the World (2022),0,Birds of the World (2022),600,600,NA,NA,NA,NA,2,368.0,flapping,3,A,2,2ry consumer,Terrestrial
Accipiter chionogaster,181.0,124.2,32.7,35311.82,Observed,NA,NA,NA,NA,3000,del Hoyo (2020),3000,del Hoyo (2020),600,del Hoyo (2020),600,del Hoyo (2020); Quintero et al. (2018),1800,1800,NA,NA,NA,NA,1,130.6,soaring,3,B,3,2ry consumer,Terrestrial
Accipiter cirrocephalus,213.0,133.7,37.8,44733.29,Observed,NA,NA,NA,NA,2500,White et al. (2015),2500,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),1250,1250,-23.36,43.64,0.00,387.27,1,165.7,soaring,3,A,2,2ry consumer,Terrestrial
Accipiter collaris,165.9,115.2,30.0,30020.56,Observed,NA,NA,NA,NA,2200,del Hoyo (2020),2500,Quintero et al. (2018),500,del Hoyo (2020),500,del Hoyo (2020),1350,1500,2.47,13.20,0.00,49.50,1,97.8,flapping,2,B,2,2ry consumer,Terrestrial
Accipiter cooperii,241.2,163.5,32.3,61946.24,Observed,108386.72,789.33,5.75,Chu et al. (2023); Viscor et al. (1987); Shiomi et al. (2024),3000,del Hoyo (2020),3000,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020); Quintero et al. (2018),1500,1500,41.25,53.31,23.28,864.14,2,429.7,soaring,3,A,3,2ry consumer,Terrestrial
Accipiter erythrauchen,191.2,132.4,30.8,39764.52,Observed,NA,NA,NA,NA,1400,White et al. (2015),1400,White et al. (2015),0,White et al. (2015),0,White et al. (2015),700,700,-1.32,3.91,0.00,35.99,1,156.0,soaring,3,B,1,2ry consumer,Terrestrial
Accipiter erythronemius,181.6,128.8,29.0,36741.05,Observed,NA,NA,NA,NA,1000,del Hoyo (2020),1000,del Hoyo (2020); Quintero et al. (2018),0,del Hoyo (2020),0,del Hoyo (2020); Quintero et al. (2018),500,500,NA,NA,NA,NA,1,125.0,soaring,3,B,3,2ry consumer,Terrestrial
Accipiter erythropus,154.6,110.1,27.1,26737.25,Observed,NA,NA,NA,NA,1500,Quintero et al. (2018),1500,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),750,750,3.48,14.73,0.00,101.06,1,111.2,soaring,3,B,1,2ry consumer,Terrestrial
Accipiter fasciatus,269.9,167.3,38.3,70928.16,Observed,NA,NA,NA,NA,1500,White et al. (2015),1500,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),750,750,-24.45,43.64,1.70,459.08,1,358.7,soaring,3,B,1,2ry consumer,Terrestrial
Accipiter francesiae,155.8,112.8,27.8,27605.55,Observed,NA,NA,NA,NA,1800,Quintero et al. (2018),1800,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),900,900,-19.49,25.61,11.36,199.36,1,136.8,soaring,3,B,1,2ry consumer,Terrestrial
Accipiter gentilis,337.6,215.0,36.3,114014.68,Observed,185054.99,1101.80,6.56,Bruderer et al. (2010); Claramunt et al. (2021); Malo et al. (2021); Chu et al. (2023); Serrano et al. (2016); Viscor et al. (1987); Shiomi et al. (2024),3000,del Hoyo (2020),3000,del Hoyo (2020); Quintero et al. (2018),0,del Hoyo (2020),0,del Hoyo (2020); Quintero et al. (2018),1500,1500,54.91,70.39,17.10,1142.35,1,866.0,soaring,3,A,2,2ry consumer,Terrestrial
Accipiter griseiceps,187.2,137.3,26.8,40373.49,Observed,NA,NA,NA,NA,2000,White et al. (2015),2000,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),1000,1000,-1.96,5.66,0.00,41.52,1,251.8,soaring,3,B,1,2ry consumer,Terrestrial
Accipiter gularis,162.6,109.0,33.2,27839.85,Observed,NA,NA,NA,NA,1800,del Hoyo (2020),1800,del Hoyo (2020); Quintero et al. (2018),0,del Hoyo (2020),0,del Hoyo (2020); Quintero et al. (2018),900,900,49.07,59.00,24.25,1329.42,1,120.7,soaring,3,B,3,2ry consumer,Terrestrial
Accipiter gundlachi,228.0,166.2,27.1,59523.13,Observed,NA,NA,NA,NA,800,White et al. (2015),800,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),400,400,21.62,23.16,19.82,175.07,1,675.0,soaring,3,B,1,2ry consumer,Terrestrial
Accipiter haplochrous,227.8,153.2,32.7,54819.16,Observed,NA,NA,NA,NA,1300,White et al. (2015),1300,White et al. (2015),0,White et al. (2015),0,White et al. (2015),650,650,-21.33,22.40,20.09,224.68,1,198.4,soaring,3,B,1,2ry consumer,Terrestrial
Accipiter henicogrammus,230.2,160.5,31.1,58036.37,Observed,NA,NA,NA,NA,1300,White et al. (2015),1300,White et al. (2015),0,White et al. (2015),0,White et al. (2015),650,650,0.88,2.65,0.00,23.63,1,358.7,soaring,3,B,1,2ry consumer,Terrestrial
Accipiter henstii,290.5,212.5,27.0,96967.22,Observed,NA,NA,NA,NA,2000,del Hoyo (2020),2000,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020); White et al. (2015); Quintero et al. (2018),1000,1000,-18.72,25.20,11.95,192.91,1,1050.0,flapping,3,A,1,2ry consumer,Terrestrial
Accipiter imitator,200.0,140.0,30.0,43982.30,Observed,NA,NA,NA,NA,1000,White et al. (2015),1000,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),500,500,-6.76,8.58,5.41,33.65,1,222.5,flapping,3,A,1,2ry consumer,Terrestrial
Accipiter luteoschistaceus,188.0,131.0,30.3,38685.57,Observed,NA,NA,NA,NA,700,del Hoyo (2020),1000,Quintero et al. (2018),0,del Hoyo (2020),0,del Hoyo (2020); White et al. (2015); Quintero et al. (2018),350,500,-5.5,6.31,4.19,38.45,1,214.0,soaring,3,B,1,2ry consumer,Terrestrial
Accipiter madagascariensis,190.8,136.2,28.7,40820.22,Observed,NA,NA,NA,NA,1500,Quintero et al. (2018),1500,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),750,750,-19.43,25.61,11.95,200.75,1,180.4,soaring,3,B,1,2ry consumer,Terrestrial
Accipiter melanochlamys,228.6,156.2,32.4,56088.93,Observed,NA,NA,NA,NA,3500,del Hoyo (2020),3500,del Hoyo (2020); Quintero et al. (2018),1000,del Hoyo (2020),1000,del Hoyo (2020),2250,2250,-5.31,10.07,0.95,38.75,1,265.0,soaring,3,B,1,2ry consumer,Terrestrial
Accipiter melanoleucus,302.8,200.8,35.0,95507.94,Observed,NA,NA,NA,NA,3700,Quintero et al. (2018),3700,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),1850,1850,-5.51,34.84,0.00,167.32,1,699.0,soaring,3,A,1,2ry consumer,Terrestrial
Accipiter meyerianus,309.5,207.5,33.0,100878.50,Observed,NA,NA,NA,NA,2700,White et al. (2015),2700,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),1350,1350,-4.7,10.12,0.00,37.97,1,763.5,soaring,3,B,1,2ry consumer,Terrestrial
Accipiter minullus,150.4,105.8,29.6,24995.01,Observed,NA,NA,NA,NA,1800,Quintero et al. (2018),1800,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),900,900,-9.71,34.84,0.00,189.99,1,87.4,soaring,3,A,1,2ry consumer,Terrestrial
Accipiter nanus,152.4,107.5,29.5,25734.36,Observed,NA,NA,NA,NA,2000,White et al. (2015),2250,Quintero et al. (2018),900,White et al. (2015),900,White et al. (2015); Quintero et al. (2018),1450,1575,-1.08,5.70,0.00,34.83,1,117.0,soaring,3,B,1,2ry consumer,Terrestrial
Accipiter nisus,207.4,134.3,35.5,43752.68,Observed,76291.44,687.79,6.20,Bruderer et al. (2010); Claramunt et al. (2021); Malo et al. (2021); Viscor et al. (1987); Shiomi et al. (2024),4500,del Hoyo (2020),4500,del Hoyo (2020); Quintero et al. (2018),0,del Hoyo (2020),0,del Hoyo (2020); Quintero et al. (2018),2250,2250,54.67,70.53,26.90,1151.79,1,220.8,soaring,3,A,2,2ry consumer,Terrestrial
