Order_Clements,Family_Clements,Species_Clements,Species_BirdTree,Match.type,Daughter,Status
Passeriformes,Vangidae,Tephrodornis sylvicola,Tephrodornis gularis,1BT to many CL,1,Extant
Passeriformes,Vangidae,Tephrodornis virgatus,Tephrodornis gularis,1BT to many CL,0,Extant
Passeriformes,Monarchidae,Terpsiphone affinis,Terpsiphone paradisi,1BT to many CL,1,Extant
Passeriformes,Monarchidae,Terpsiphone batesi,Terpsiphone rufocinerea,1BT to many CL,1,Extant
Passeriformes,Monarchidae,Terpsiphone incei,Terpsiphone paradisi,1BT to many CL,1,Extant
Passeriformes,Monarchidae,Terpsiphone paradisi,Terpsiphone paradisi,1BT to many CL,0,Extant
Passeriformes,Monarchidae,Terpsiphone rufocinerea,Terpsiphone rufocinerea,1BT to many CL,0,Extant
Passeriformes,Meliphagidae,Territornis albilineata,Meliphaga albilineata,1BT to many CL,0,Extant
Passeriformes,Meliphagidae,Territornis fordiana,Meliphaga albilineata,1BT to many CL,1,Extant
Charadriiformes,Laridae,Thalasseus albididorsalis,Sterna maxima,1BT to many CL,1,Extant
Charadriiformes,Laridae,Thalasseus maximus,Sterna maxima,1BT to many CL,0,Extant
Passeriformes,Thamnophilidae,Thamnistes anabatinus,Thamnistes anabatinus,1BT to many CL,0,Extant
Passeriformes,Thamnophilidae,Thamnistes rufescens,Thamnistes anabatinus,1BT to many CL,1,Extant
Pelecaniformes,Threskiornithidae,Theristicus branickii,Theristicus melanopis,1BT to many CL,1,Extant
Pelecaniformes,Threskiornithidae,Theristicus melanopis,Theristicus melanopis,1BT to many CL,0,Extant
Passeriformes,Troglodytidae,Thryophilus rufalbus,Thryothorus rufalbus,1BT to many CL,0,Extant
Passeriformes,Troglodytidae,Thryophilus sernai,Thryothorus rufalbus,1BT to many CL,1,Extant
Bucerotiformes,Bucerotidae,Tockus damarensis,Tockus erythrorhynchus,1BT to many CL,1,Extant
Bucerotiformes,Bucerotidae,Tockus erythrorhynchus,Tockus erythrorhynchus,1BT to many CL,0,Extant
Bucerotiformes,Bucerotidae,Tockus kempi,Tockus erythrorhynchus,1BT to many CL,1,Extant
Bucerotiformes,Bucerotidae,Tockus ruahae,Tockus erythrorhynchus,1BT to many CL,1,Extant
Bucerotiformes,Bucerotidae,Tockus rufirostris,Tockus erythrorhynchus,1BT to many CL,1,Extant
Coraciiformes,Alcedinidae,Todiramphus albicilla,Todiramphus chloris,1BT to many CL,1,Extant
Coraciiformes,Alcedinidae,Todiramphus chloris,Todiramphus chloris,1BT to many CL,0,Extant
Coraciiformes,Alcedinidae,Todiramphus cinnamominus,Todiramphus cinnamominus,1BT to many CL,0,Extant
Coraciiformes,Alcedinidae,Todiramphus colonus,Todiramphus chloris,1BT to many CL,1,Extant
NA,NA,Todiramphus gambieri,Todiramphus gambieri,1BT to many CL,0,Extant
Coraciiformes,Alcedinidae,Todiramphus pelewensis,Todiramphus cinnamominus,1BT to many CL,1,Extant
Coraciiformes,Alcedinidae,Todiramphus reichenbachii,Todiramphus cinnamominus,1BT to many CL,1,Extant
Coraciiformes,Alcedinidae,Todiramphus sacer,Todiramphus chloris,1BT to many CL,1,Extant
Coraciiformes,Alcedinidae,Todiramphus sordidus,Todiramphus chloris,1BT to many CL,1,Extant
Coraciiformes,Alcedinidae,Todiramphus tristrami,Todiramphus chloris,1BT to many CL,1,Extant
Columbiformes,Columbidae,Treron affinis,Treron pompadora,1BT to many CL,1,Extant
Columbiformes,Columbidae,Treron aromaticus,Treron pompadora,1BT to many CL,1,Extant
Columbiformes,Columbidae,Treron australis,Treron australis,1BT to many CL,0,Extant
Columbiformes,Columbidae,Treron axillaris,Treron pompadora,1BT to many CL,1,Extant
Columbiformes,Columbidae,Treron chloropterus,Treron pompadora,1BT to many CL,1,Extant
Columbiformes,Columbidae,Treron griveaudi,Treron australis,1BT to many CL,1,Extant
Columbiformes,Columbidae,Treron phayrei,Treron pompadora,1BT to many CL,1,Extant
Columbiformes,Columbidae,Treron pompadora,Treron pompadora,1BT to many CL,0,Extant
Psittaciformes,Psittaculidae,Trichoglossus capistratus,Trichoglossus haematodus,1BT to many CL,1,Extant
Psittaciformes,Psittaculidae,Trichoglossus forsteni,Trichoglossus haematodus,1BT to many CL,1,Extant
Psittaciformes,Psittaculidae,Trichoglossus haematodus,Trichoglossus haematodus,1BT to many CL,0,Extant
Psittaciformes,Psittaculidae,Trichoglossus moluccanus,Trichoglossus haematodus,1BT to many CL,1,Extant
Psittaciformes,Psittaculidae,Trichoglossus rubritorquis,Trichoglossus haematodus,1BT to many CL,1,Extant
Psittaciformes,Psittaculidae,Trichoglossus weberi,Trichoglossus haematodus,1BT to many CL,1,Extant
Passeriformes,Troglodytidae,Troglodytes hiemalis,Troglodytes troglodytes,1BT to many CL,1,Extant
Passeriformes,Troglodytidae,Troglodytes pacificus,Troglodytes troglodytes,1BT to many CL,1,Extant
