Species_BirdTree,Migration,Ref.1_max.elevation,Ref.1_min.elevation,Ref.2_max.elevation,Ref.2_min.elevation,Updated_max.elevation,Updated_min.elevation,Source_updated.elevation
Berlepschia rikeri,1,650,0,800,0,NA,NA,NA
Bernieria apperti,1,NA,NA,NA,NA,1400,600,del Hoyo (2020)
Bernieria cinereiceps,1,NA,NA,2000,800,NA,NA,NA
Bernieria madagascariensis,1,NA,NA,1300,0,NA,NA,NA
Bernieria tenebrosa,1,NA,NA,950,0,NA,NA,NA
Bernieria zosterops,1,NA,NA,1500,0,NA,NA,NA
Bias musicus,2,1700,0,1700,0,NA,NA,NA
Biatas nigropectus,1,1200,500,1200,500,NA,NA,NA
Biziura lobata,2,NA,NA,1200,0,900,0,del Hoyo (2020)
Bleda canicapillus,1,NA,NA,1000,0,NA,NA,NA
Bleda eximius,1,NA,NA,1450,0,NA,NA,NA
Bleda notatus,1,1250,0,1250,0,NA,NA,NA
Bleda syndactylus,1,NA,NA,2150,0,NA,NA,NA
Blythipicus pyrrhotis,1,2750,50,2750,50,NA,NA,NA
Blythipicus rubiginosus,1,2200,NA,2200,0,NA,NA,NA
Boissonneaua flavescens,1,3500,2000,3600,1500,3500,2000,del Hoyo (2020)
Boissonneaua jardini,1,2200,350,2200,350,NA,NA,NA
Boissonneaua matthewsii,1,3000,1200,3300,1200,3000,1200,del Hoyo (2020)
Bolbopsittacus lunulatus,1,1000,0,1000,0,NA,NA,NA
Bolborhynchus ferrugineifrons,1,4000,2400,4000,3200,4000,3200,del Hoyo (2020)
Bolborhynchus lineola,2,3300,600,3900,600,3300,600,del Hoyo (2020)
Bolborhynchus orbygnesius,2,6000,1500,4000,3000,6000,3000,del Hoyo (2020)
Bombycilla cedrorum,3,NA,NA,3000,0,2200,0,del Hoyo (2020)
Bombycilla garrulus,3,NA,NA,2400,0,2800,0,del Hoyo (2020)
Bombycilla japonica,2,NA,NA,600,0,1600,0,del Hoyo (2020)
Bonasa bonasia,1,1900,200,1800,0,NA,NA,NA
Bonasa sewerzowi,1,4000,1000,4000,1000,NA,NA,NA
Bonasa umbellus,1,2591,153,2130,0,3300,0,del Hoyo (2020)
Bostrychia bocagei,1,450,0,NA,NA,NA,NA,NA
Bostrychia carunculata,1,4100,1500,4100,1500,NA,NA,NA
Bostrychia hagedash,1,NA,NA,3000,0,NA,NA,NA
Bostrychia olivacea,1,3700,0,3700,1000,3700,100,del Hoyo (2020)
Bostrychia rara,1,NA,NA,700,0,NA,NA,NA
Botaurus lentiginosus,3,NA,NA,2500,0,1500,0,del Hoyo (2020)
Botaurus pinnatus,2,2600,0,2600,0,NA,NA,NA
Botaurus poiciloptilus,2,800,0,300,0,300,0,del Hoyo (2020)
Botaurus stellaris,2,NA,NA,3000,0,3000,0,del Hoyo (2020)
Bowdleria punctata,1,NA,NA,1000,0,NA,NA,NA
Brachycope anomala,1,NA,NA,NA,NA,700,300,del Hoyo (2020)
Brachygalba albogularis,1,NA,NA,600,63,NA,NA,NA
Brachygalba goeringi,1,1100,NA,1100,0,NA,NA,NA
Brachygalba lugubris,1,1500,0,1500,0,NA,NA,NA
Brachygalba salmoni,1,700,NA,700,0,NA,NA,NA
Brachypteracias leptosomus,1,1500,0,1500,0,NA,NA,NA
Brachypteracias squamiger,1,NA,NA,1000,0,NA,NA,NA
Brachypteryx hyperythra,2,3000,450,2950,450,NA,NA,NA
Brachypteryx leucophrys,2,3900,250,3900,975,3900,200,del Hoyo (2020)
Brachypteryx montana,1,3600,300,3660,245,NA,NA,NA
Brachypteryx stellata,2,4265,1500,4200,1500,NA,NA,NA
Brachyramphus brevirostris,3,NA,NA,150,0,1100,0,del Hoyo (2020)
Brachyramphus marmoratus,3,NA,NA,150,0,1100,0,del Hoyo (2020)
Brachyramphus perdix,3,NA,NA,150,0,1300,0,del Hoyo (2020)
Bradornis infuscatus,1,NA,NA,1800,0,NA,NA,NA
Bradornis mariquensis,1,NA,NA,1800,600,NA,NA,NA
Bradornis microrhynchus,1,2000,NA,2000,0,NA,NA,NA
Bradornis pallidus,1,NA,NA,2000,0,NA,NA,NA
Bradypterus accentor,1,2745,2135,3600,2135,3700,2100,del Hoyo (2020)
Bradypterus alfredi,1,2500,525,2500,525,NA,NA,NA
Bradypterus alishanensis,1,3000,NA,3000,1200,NA,NA,NA
Bradypterus baboecala,1,2300,0,2300,0,NA,NA,NA
Bradypterus bangwaensis,1,2950,1600,2950,1600,NA,NA,NA
