Species_BirdTree,Migration,Ref.1_max.elevation,Ref.1_min.elevation,Ref.2_max.elevation,Ref.2_min.elevation,Updated_max.elevation,Updated_min.elevation,Source_updated.elevation
Basileuterus signatus,1,3050,1500,3050,1500,NA,NA,NA
Basileuterus trifasciatus,1,3000,500,3000,650,NA,NA,NA
Basileuterus tristriatus,1,2700,300,2700,300,NA,NA,NA
Basilornis celebensis,1,1200,NA,1200,0,NA,NA,NA
Basilornis corythaix,1,900,200,NA,NA,NA,NA,NA
Basilornis galeatus,1,1000,0,NA,NA,NA,NA,NA
Basilornis mirandus,1,NA,NA,2794,1250,NA,NA,NA
Batara cinerea,1,2600,0,2600,0,NA,NA,NA
Bathmocercus cerviniventris,1,NA,NA,700,0,NA,NA,NA
Bathmocercus rufus,1,2400,300,2400,300,NA,NA,NA
Bathmocercus winifredae,1,NA,NA,2350,1300,NA,NA,NA
Batis capensis,1,2450,0,2450,0,NA,NA,NA
Batis crypta,1,2160,540,2160,540,NA,NA,NA
Batis diops,1,3300,1340,3300,1340,NA,NA,NA
Batis fratrum,1,940,NA,940,0,NA,NA,NA
Batis ituriensis,1,1300,NA,NA,NA,1300,0,del Hoyo (2020)
Batis margaritae,1,NA,NA,2500,146,NA,NA,NA
Batis minima,1,800,NA,NA,NA,800,0,Birds of the World (2022)
Batis minor,1,3000,NA,1750,0,3000,0,del Hoyo (2020)
Batis minulla,1,847,NA,847,0,NA,NA,NA
Batis mixta,1,2300,0,2300,0,NA,NA,NA
Batis molitor,1,3000,NA,3000,0,NA,NA,NA
Batis occulta,1,NA,NA,2500,0,NA,NA,NA
Batis orientalis,1,2100,NA,2100,0,NA,NA,NA
Batis perkeo,1,1200,0,1200,0,NA,NA,NA
Batis poensis,1,2500,0,NA,NA,NA,NA,NA
Batis pririt,1,NA,NA,1900,0,NA,NA,NA
Batis senegalensis,1,900,NA,900,0,NA,NA,NA
Batis soror,1,1550,0,1550,0,NA,NA,NA
Batrachostomus affinis,1,NA,NA,1600,0,1600,0,del Hoyo (2020)
Batrachostomus auritus,1,NA,NA,300,0,NA,NA,NA
Batrachostomus cornutus,1,NA,NA,1000,0,NA,NA,NA
Batrachostomus harterti,1,1230,600,1230,600,NA,NA,NA
Batrachostomus hodgsoni,1,1900,300,1900,300,NA,NA,NA
Batrachostomus javensis,1,2150,0,1700,0,2200,0,del Hoyo (2020)
Batrachostomus mixtus,1,1675,600,2540,600,2500,600,del Hoyo (2020)
Batrachostomus moniliger,1,1200,0,1200,0,NA,NA,NA
Batrachostomus poliolophus,1,NA,NA,1400,600,1400,600,del Hoyo (2020)
Batrachostomus septimus,1,2500,NA,2500,0,NA,NA,NA
Batrachostomus stellatus,1,920,NA,920,0,NA,NA,NA
